Zaman damgası,Cinsiyetiniz nedir?,Kaçıncı sınıfta eğitim görüyorsunuz?,Hangi fakültede öğrenim görüyorsunuz?,Not ortalamanız hangi sistem üzerinden hesaplanıyor?,4'lük sistemde geçen dönemki ortalamanızı giriniz (Küsüratlı değerleri virgül yerine noktayla ayırınız. Örn: 2.15):,4'lük sistemde genel ortalamanızı giriniz (Küsüratlı değerleri virgül yerine noktayla ayırınız. Örn: 2.15):,100'lük sistemde geçen dönemki ortalamanızı giriniz (Küsüratlı değerleri virgül yerine noktayla ayırınız. Örn: 93.5):,100'lük sistemde genel ortalamanızı giriniz (Küsüratlı değerleri virgül yerine noktayla ayırınız. Örn: 93.5):,Önceki dönem aldığınız ders sayısını giriniz:,Önceki dönem başarısız olduğunuz ders sayısını giriniz:,Haftada kaç saat ders çalışıyorsunuz?,Sınav haftaları kaç saat ders çalışıyorsunuz?,Annenizin eğitim durumu nedir?,Babanızın eğitim durumu nedir?,Evinizin aylık toplam geliri ne kadardır?,Bir işte çalışıyor musunuz?,Eğitim-öğretim dönemi içerisinde nerede ikamet ediyorsunuz?,Günlük ortalama ekran sürenizi seçiniz:,Günlük ortalama uyku sürenizi seçiniz:
05.03.2026 06:49:33,Kadın,1.sınıf,Mühendislik Fakültesi,4'lük sistem,3.5,3.45,,,8,0,0-5 saat,0-5 saat,İlkokul,Ortaokul,0 - 28.075 TL,Çalışmıyorum.,Aile evi,0 - 3 saat,10 - 15 saat
05.03.2026 08:29:07,Kadın,3.sınıf,Diğer,100'lük sistem,,,80.3,80.3,8,1,0-5 saat,0-5 saat,Üniversite,Üniversite,90.000+ TL,Çalışmıyorum.,Aile evi,0 - 3 saat,7 - 10 saat
05.03.2026 08:29:45,Kadın,2.sınıf,Diğer,4'lük sistem,2.78,3.1,,,8,0,0-5 saat,10-20 saat,İlkokul,İlkokul,60.000 - 90.000 TL,Full-Time çalışıyorum.,Aile evi,3 - 6 saat,7 - 10 saat
05.03.2026 08:43:32,Kadın,1.sınıf,Diğer,4'lük sistem,3.68,3.68,,,9,0,5-10 saat,5-10 saat,İlkokul,İlkokul,90.000+ TL,Çalışmıyorum.,Yurt,3 - 6 saat,7 - 10 saat
05.03.2026 08:54:17,Kadın,3.sınıf,Mühendislik Fakültesi,4'lük sistem,3.40,3.37,,,7,0,10-20 saat,20-30 saat,Lise,İlkokul,60.000 - 90.000 TL,Çalışmıyorum.,Öğrenci evi,7 - 10 saat,3 - 6 saat
05.03.2026 09:35:04,Kadın,2.sınıf,Mühendislik Fakültesi,4'lük sistem,3.29,3.17,,,7,0,0-5 saat,5-10 saat,İlkokul,İlkokul,60.000 - 90.000 TL,Çalışmıyorum.,Öğrenci evi,0 - 3 saat,7 - 10 saat
05.03.2026 11:33:17,Kadın,2.sınıf,Eğitim/Fen Fakültesi,4'lük sistem,2.43,2.74,,,9,0,5-10 saat,10-20 saat,İlkokul,Üniversite,28.075 - 60.000 TL,Çalışmıyorum.,Aile evi,3 - 6 saat,7 - 10 saat
05.03.2026 11:52:15,Kadın,1.sınıf,Güzel Sanatlar ve Mimarlık Fakültesi,4'lük sistem,2.90,2.90,,,9,0,5-10 saat,10-20 saat,Ortaokul,İlkokul,28.075 - 60.000 TL,Part-Time çalışıyorum.,Aile evi,0 - 3 saat,3 - 6 saat
05.03.2026 12:00:07,Erkek,3.sınıf,Eğitim/Fen Fakültesi,4'lük sistem,3.90,3.82,,,9,0,30-50 saat,30-50 saat,İlkokul,Lise,28.075 - 60.000 TL,Part-Time çalışıyorum.,Aile evi,3 - 6 saat,7 - 10 saat
05.03.2026 12:21:37,Kadın,2.sınıf,Diğer,4'lük sistem,2.97,2.93,,,7,0,20-30 saat,50+ saat,Lise,Üniversite,0 - 28.075 TL,Çalışmıyorum.,Yurt,3 - 6 saat,3 - 6 saat
05.03.2026 12:56:30,Kadın,2.sınıf,Güzel Sanatlar ve Mimarlık Fakültesi,4'lük sistem,2.98,2.80,,,8,0,20-30 saat,20-30 saat,Üniversite,Lise,60.000 - 90.000 TL,Çalışmıyorum.,Yurt,3 - 6 saat,7 - 10 saat
05.03.2026 13:07:28,Kadın,1.sınıf,Sosyal ve Beşeri Bilimler/Siyasal Bilgiler Fakültesi,4'lük sistem,1.8,2,,,8,2,0-5 saat,5-10 saat,Ortaokul,Üniversite,60.000 - 90.000 TL,Çalışmıyorum.,Yurt,3 - 6 saat,7 - 10 saat
05.03.2026 14:20:22,Kadın,1.sınıf,Diğer,4'lük sistem,2.88,2.80,,,9,0,0-5 saat,5-10 saat,Üniversite,Üniversite,90.000+ TL,Çalışmıyorum.,Aile evi,7 - 10 saat,7 - 10 saat
05.03.2026 14:47:28,Kadın,1.sınıf,Güzel Sanatlar ve Mimarlık Fakültesi,4'lük sistem,2.05,2.05,,,7,1,0-5 saat,0-5 saat,Lise,İlkokul,60.000 - 90.000 TL,Çalışmıyorum.,Yurt,3 - 6 saat,10 - 15 saat
05.03.2026 15:20:46,Kadın,Hazırlık,Diğer,100'lük sistem,,,72.5,76.8,4,0,5-10 saat,10-20 saat,İlkokul,Lise,28.075 - 60.000 TL,Çalışmıyorum.,Yurt,0 - 3 saat,7 - 10 saat
05.03.2026 15:50:00,Erkek,3.sınıf,Mühendislik Fakültesi,4'lük sistem,3.45,2.80,,,11,0,10-20 saat,30-50 saat,Lise,Lise,28.075 - 60.000 TL,Çalışmıyorum.,Aile evi,7 - 10 saat,7 - 10 saat
05.03.2026 16:41:49,Kadın,3.sınıf,Mühendislik Fakültesi,4'lük sistem,2.89,2.62,,,6,0,10-20 saat,30-50 saat,İlkokul,Lise,28.075 - 60.000 TL,Çalışmıyorum.,Yurt,3 - 6 saat,3 - 6 saat
05.03.2026 17:18:16,Kadın,1.sınıf,Diğer,4'lük sistem,3.18,3.17,,,10,0,10-20 saat,10-20 saat,İlkokul,Lise,90.000+ TL,Çalışmıyorum.,Aile evi,3 - 6 saat,3 - 6 saat
05.03.2026 17:49:58,Kadın,2.sınıf,Eğitim/Fen Fakültesi,4'lük sistem,3.07,2.9,,,11,4,5-10 saat,10-20 saat,İlkokul,Üniversite,0 - 28.075 TL,Çalışmıyorum.,Aile evi,3 - 6 saat,3 - 6 saat
05.03.2026 19:25:24,Erkek,Diğer,Sosyal ve Beşeri Bilimler/Siyasal Bilgiler Fakültesi,4'lük sistem,2.71,2.71,,,11,1,0-5 saat,20-30 saat,Üniversite,Üniversite,90.000+ TL,Full-Time çalışıyorum.,Öğrenci evi,3 - 6 saat,7 - 10 saat
05.03.2026 22:15:41,Erkek,4.sınıf,Mühendislik Fakültesi,100'lük sistem,,,53.5,55.78,8,2,0-5 saat,10-20 saat,Lise,Lise,60.000 - 90.000 TL,Çalışmıyorum.,Öğrenci evi,3 - 6 saat,3 - 6 saat
05.03.2026 22:17:40,Erkek,4.sınıf,Mühendislik Fakültesi,100'lük sistem,,,74.75,77.02,8,0,5-10 saat,10-20 saat,Üniversite,Üniversite,90.000+ TL,Çalışmıyorum.,Aile evi,3 - 6 saat,7 - 10 saat
06.03.2026 16:30:53,Kadın,3.sınıf,Mühendislik Fakültesi,4'lük sistem,1.95,2.50,,,6,2,0-5 saat,10-20 saat,İlkokul,İlkokul,28.075 - 60.000 TL,Çalışmıyorum.,Aile evi,7 - 10 saat,7 - 10 saat
06.03.2026 16:32:08,Kadın,3.sınıf,Mühendislik Fakültesi,4'lük sistem,3.00,3.03,,,6,0,20-30 saat,30-50 saat,Lise,Üniversite,90.000+ TL,Çalışmıyorum.,Aile evi,3 - 6 saat,7 - 10 saat
06.03.2026 16:32:30,Erkek,3.sınıf,Mühendislik Fakültesi,4'lük sistem,1.96,2.45,,,8,3,10-20 saat,50+ saat,Lise,Üniversite,0 - 28.075 TL,Çalışmıyorum.,Yurt,3 - 6 saat,7 - 10 saat
06.03.2026 16:33:44,Erkek,1.sınıf,Mühendislik Fakültesi,4'lük sistem,0,0,,,9,0,50+ saat,50+ saat,Üniversite,Üniversite,90.000+ TL,Çalışmıyorum.,Öğrenci evi,15 - 24 saat,15 - 24 saat
06.03.2026 16:34:31,Kadın,3.sınıf,Mühendislik Fakültesi,4'lük sistem,2.95,2.89,,,6,0,0-5 saat,5-10 saat,İlkokul,İlkokul,28.075 - 60.000 TL,Çalışmıyorum.,Aile evi,7 - 10 saat,7 - 10 saat
06.03.2026 17:21:11,Kadın,3.sınıf,Mühendislik Fakültesi,4'lük sistem,3.45,3.12,,,7,0,0-5 saat,5-10 saat,İlkokul,Ortaokul,28.075 - 60.000 TL,Çalışmıyorum.,Yurt,7 - 10 saat,3 - 6 saat
06.03.2026 17:28:47,Kadın,3.sınıf,Mühendislik Fakültesi,4'lük sistem,2.72,2.57,,,8,8,0-5 saat,5-10 saat,İlkokul,Ortaokul,60.000 - 90.000 TL,Çalışmıyorum.,Yurt,3 - 6 saat,7 - 10 saat
06.03.2026 17:34:02,Kadın,3.sınıf,Mühendislik Fakültesi,4'lük sistem,2.4,2.3,,,9,1,0-5 saat,20-30 saat,Üniversite,Lise,60.000 - 90.000 TL,Çalışmıyorum.,Aile evi,3 - 6 saat,3 - 6 saat
06.03.2026 17:35:13,Erkek,4.sınıf,Mühendislik Fakültesi,4'lük sistem,2.25,2.70,,,7,2,0-5 saat,0-5 saat,İlkokul,Üniversite,60.000 - 90.000 TL,Full-Time çalışıyorum.,Aile evi,3 - 6 saat,7 - 10 saat
06.03.2026 17:44:38,Kadın,2.sınıf,Eğitim/Fen Fakültesi,4'lük sistem,2.51,2.47,,,12,2,0-5 saat,5-10 saat,İlkokul,Üniversite,60.000 - 90.000 TL,Çalışmıyorum.,Aile evi,3 - 6 saat,7 - 10 saat
06.03.2026 17:50:54,Erkek,2.sınıf,Mühendislik Fakültesi,4'lük sistem,3.40,2.53,,,6,0,0-5 saat,30-50 saat,Ortaokul,Üniversite,90.000+ TL,Çalışmıyorum.,Aile evi,7 - 10 saat,7 - 10 saat
06.03.2026 17:51:23,Kadın,Diğer,Sosyal ve Beşeri Bilimler/Siyasal Bilgiler Fakültesi,4'lük sistem,4,4,,,7,0,5-10 saat,5-10 saat,Ortaokul,Lise,28.075 - 60.000 TL,Çalışmıyorum.,Aile evi,7 - 10 saat,7 - 10 saat
06.03.2026 19:59:21,Kadın,3.sınıf,Mühendislik Fakültesi,4'lük sistem,2.81,2.89,,,6,0,0-5 saat,10-20 saat,İlkokul,Üniversite,60.000 - 90.000 TL,Çalışmıyorum.,Aile evi,3 - 6 saat,7 - 10 saat
06.03.2026 20:08:59,Kadın,2.sınıf,Diğer,4'lük sistem,3,3.9,,,8,1,0-5 saat,0-5 saat,İlkokul,İlkokul,28.075 - 60.000 TL,Çalışmıyorum.,Öğrenci evi,7 - 10 saat,7 - 10 saat
06.03.2026 20:09:49,Kadın,2.sınıf,Diğer,4'lük sistem,3.04,3.04,,,9,0,0-5 saat,0-5 saat,İlkokul,Ortaokul,28.075 - 60.000 TL,Çalışmıyorum.,Diğer,3 - 6 saat,3 - 6 saat
06.03.2026 20:11:44,Kadın,2.sınıf,Diğer,4'lük sistem,3.00,3.5,,,7,1,0-5 saat,0-5 saat,İlkokul,İlkokul,0 - 28.075 TL,Çalışmıyorum.,Öğrenci evi,3 - 6 saat,7 - 10 saat
06.03.2026 20:14:52,Kadın,3.sınıf,Mühendislik Fakültesi,4'lük sistem,3,2.77,,,7,0,10-20 saat,20-30 saat,Üniversite,Üniversite,90.000+ TL,Çalışmıyorum.,Aile evi,0 - 3 saat,7 - 10 saat
06.03.2026 20:17:22,Kadın,2.sınıf,Sosyal ve Beşeri Bilimler/Siyasal Bilgiler Fakültesi,4'lük sistem,2.45,2.45,,,7,6,5-10 saat,5-10 saat,Hiçbiri,İlkokul,28.075 - 60.000 TL,Çalışmıyorum.,Yurt,0 - 3 saat,7 - 10 saat
06.03.2026 20:19:05,Erkek,4.sınıf,Mühendislik Fakültesi,4'lük sistem,0.96,2.00,,,8,5,0-5 saat,5-10 saat,Lise,Ortaokul,28.075 - 60.000 TL,Çalışmıyorum.,Yurt,3 - 6 saat,7 - 10 saat
06.03.2026 20:33:08,Kadın,2.sınıf,Diğer,4'lük sistem,3.25,2.80,,,9,0,5-10 saat,30-50 saat,Ortaokul,Ortaokul,28.075 - 60.000 TL,Çalışmıyorum.,Yurt,3 - 6 saat,7 - 10 saat
06.03.2026 22:21:37,Erkek,2.sınıf,Mühendislik Fakültesi,4'lük sistem,2.22,2.56,,,8,0,5-10 saat,20-30 saat,Lise,Üniversite,60.000 - 90.000 TL,Çalışmıyorum.,Yurt,7 - 10 saat,7 - 10 saat
06.03.2026 22:24:31,Kadın,2.sınıf,Mühendislik Fakültesi,4'lük sistem,2.8,2.3,,,9,1,5-10 saat,20-30 saat,İlkokul,Üniversite,60.000 - 90.000 TL,Çalışmıyorum.,Aile evi,7 - 10 saat,7 - 10 saat
06.03.2026 22:37:49,Kadın,1.sınıf,Diğer,4'lük sistem,3.30,3.30,,,7,0,0-5 saat,0-5 saat,İlkokul,Lise,90.000+ TL,Çalışmıyorum.,Aile evi,15 - 24 saat,3 - 6 saat
06.03.2026 23:30:24,Kadın,2.sınıf,Sağlık Bilimleri/Hemşirelik/Tıp/Diş Hekimliği Fakültesi,4'lük sistem,3.43,3.30,,,9,0,0-5 saat,5-10 saat,Üniversite,Üniversite,90.000+ TL,Çalışmıyorum.,Yurt,3 - 6 saat,7 - 10 saat
07.03.2026 01:43:58,Kadın,3.sınıf,Diğer,4'lük sistem,2.90,2.80,,,8,0,10-20 saat,20-30 saat,Üniversite,Ortaokul,60.000 - 90.000 TL,Çalışmıyorum.,Yurt,10 - 15 saat,3 - 6 saat
07.03.2026 01:56:30,Kadın,Diğer,Diğer,4'lük sistem,2.14,2.16,,,10,2,0-5 saat,5-10 saat,Lise,Üniversite,0 - 28.075 TL,Çalışmıyorum.,Aile evi,3 - 6 saat,7 - 10 saat
07.03.2026 04:11:17,Erkek,1.sınıf,Güzel Sanatlar ve Mimarlık Fakültesi,4'lük sistem,3.50,3.20,,,6,0,20-30 saat,10-20 saat,Lise,Üniversite,28.075 - 60.000 TL,Çalışmıyorum.,Yurt,3 - 6 saat,3 - 6 saat
07.03.2026 08:01:57,Kadın,3.sınıf,Sağlık Bilimleri/Hemşirelik/Tıp/Diş Hekimliği Fakültesi,4'lük sistem,3.56,3.30,,,14,0,5-10 saat,30-50 saat,Üniversite,Üniversite,60.000 - 90.000 TL,Çalışmıyorum.,Aile evi,3 - 6 saat,7 - 10 saat
07.03.2026 17:34:23,Kadın,2.sınıf,Sosyal ve Beşeri Bilimler/Siyasal Bilgiler Fakültesi,4'lük sistem,2.80,2.70,,,8,3,0-5 saat,5-10 saat,Ortaokul,Ortaokul,28.075 - 60.000 TL,Çalışmıyorum.,Diğer,3 - 6 saat,7 - 10 saat
07.03.2026 21:10:43,Kadın,2.sınıf,Mühendislik Fakültesi,4'lük sistem,2.7,2.4,,,7,2,0-5 saat,5-10 saat,Üniversite,Üniversite,90.000+ TL,Çalışmıyorum.,Aile evi,7 - 10 saat,10 - 15 saat
07.03.2026 21:31:59,Erkek,4.sınıf,Mühendislik Fakültesi,4'lük sistem,1.57,1.63,,,10,7,20-30 saat,30-50 saat,Üniversite,Üniversite,90.000+ TL,Part-Time çalışıyorum.,Yurt,0 - 3 saat,7 - 10 saat
07.03.2026 21:46:26,Erkek,5.sınıf,Mühendislik Fakültesi,4'lük sistem,2.25,2.25,,,8,4,5-10 saat,0-5 saat,İlkokul,Lise,28.075 - 60.000 TL,Part-Time çalışıyorum.,Öğrenci evi,7 - 10 saat,3 - 6 saat
07.03.2026 22:09:25,Erkek,1.sınıf,Mühendislik Fakültesi,4'lük sistem,3.08,3.08,,,8,0,5-10 saat,20-30 saat,Lise,İlkokul,90.000+ TL,Çalışmıyorum.,Aile evi,7 - 10 saat,7 - 10 saat
07.03.2026 22:10:00,Kadın,3.sınıf,Mühendislik Fakültesi,4'lük sistem,1.95,2.50,,,6,2,0-5 saat,10-20 saat,İlkokul,İlkokul,28.075 - 60.000 TL,Çalışmıyorum.,Aile evi,7 - 10 saat,7 - 10 saat
07.03.2026 22:48:18,Kadın,2.sınıf,Diğer,4'lük sistem,2.79,2.78,,,8,0,20-30 saat,5-10 saat,Lise,Üniversite,28.075 - 60.000 TL,Çalışmıyorum.,Yurt,0 - 3 saat,7 - 10 saat
07.03.2026 23:26:29,Kadın,Hazırlık,Sağlık Bilimleri/Hemşirelik/Tıp/Diş Hekimliği Fakültesi,100'lük sistem,,,80.5,80.6,5,0,30-50 saat,50+ saat,İlkokul,İlkokul,28.075 - 60.000 TL,Çalışmıyorum.,Yurt,0 - 3 saat,7 - 10 saat
08.03.2026 02:06:16,Kadın,Diğer,Diğer,100'lük sistem,,,85.00,85.01,16,1,5-10 saat,10-20 saat,İlkokul,İlkokul,28.075 - 60.000 TL,Çalışmıyorum.,Aile evi,3 - 6 saat,3 - 6 saat
08.03.2026 19:24:40,Kadın,1.sınıf,Mühendislik Fakültesi,4'lük sistem,2.56,2.56,,,9,1,5-10 saat,10-20 saat,Lise,Üniversite,60.000 - 90.000 TL,Çalışmıyorum.,Aile evi,3 - 6 saat,7 - 10 saat
10.03.2026 19:46:57,Kadın,2.sınıf,Mühendislik Fakültesi,4'lük sistem,2.8,2.9,,,9,1,5-10 saat,5-10 saat,İlkokul,Üniversite,90.000+ TL,Çalışmıyorum.,Aile evi,7 - 10 saat,7 - 10 saat
11.03.2026 08:47:52,Kadın,2.sınıf,Mühendislik Fakültesi,4'lük sistem,3.05,2.9,,,8,8,0-5 saat,0-5 saat,Ortaokul,Ortaokul,28.075 - 60.000 TL,Çalışmıyorum.,Aile evi,3 - 6 saat,3 - 6 saat
11.03.2026 08:52:04,Kadın,2.sınıf,Eğitim/Fen Fakültesi,4'lük sistem,3.23,3.20,,,8,8,0-5 saat,5-10 saat,İlkokul,Lise,28.075 - 60.000 TL,Çalışmıyorum.,Öğrenci evi,10 - 15 saat,7 - 10 saat
11.03.2026 08:55:40,Kadın,1.sınıf,Mühendislik Fakültesi,4'lük sistem,3.33,3.44,,,7,0,0-5 saat,5-10 saat,Üniversite,Üniversite,90.000+ TL,Çalışmıyorum.,Aile evi,0 - 3 saat,3 - 6 saat
11.03.2026 08:58:48,Kadın,2.sınıf,Mühendislik Fakültesi,4'lük sistem,3.22,2.76,,,9,0,5-10 saat,10-20 saat,Lise,Üniversite,28.075 - 60.000 TL,Çalışmıyorum.,Aile evi,0 - 3 saat,7 - 10 saat
11.03.2026 09:25:52,Erkek,4.sınıf,Mühendislik Fakültesi,4'lük sistem,2.45,2.34,,,13,2,0-5 saat,0-5 saat,Ortaokul,Lise,60.000 - 90.000 TL,Part-Time çalışıyorum.,Yurt,3 - 6 saat,0 - 3 saat
11.03.2026 09:40:32,Kadın,2.sınıf,Diğer,4'lük sistem,2.50,2.17,,,8,4,20-30 saat,10-20 saat,İlkokul,Ortaokul,28.075 - 60.000 TL,Çalışmıyorum.,Aile evi,0 - 3 saat,7 - 10 saat
11.03.2026 09:43:50,Erkek,3.sınıf,Mühendislik Fakültesi,4'lük sistem,3.68,3.10,,,6,0,10-20 saat,20-30 saat,Ortaokul,Ortaokul,0 - 28.075 TL,Çalışmıyorum.,Yurt,3 - 6 saat,3 - 6 saat
11.03.2026 10:22:59,Kadın,1.sınıf,Mühendislik Fakültesi,4'lük sistem,3.65,3.65,,,8,0,0-5 saat,20-30 saat,Lise,Lise,28.075 - 60.000 TL,Çalışmıyorum.,Aile evi,3 - 6 saat,7 - 10 saat
11.03.2026 10:31:02,Kadın,3.sınıf,Eğitim/Fen Fakültesi,4'lük sistem,1.43,2.22,,,7,3,10-20 saat,30-50 saat,Üniversite,Üniversite,60.000 - 90.000 TL,Çalışmıyorum.,Aile evi,3 - 6 saat,7 - 10 saat
11.03.2026 10:42:54,Erkek,5.sınıf,Sosyal ve Beşeri Bilimler/Siyasal Bilgiler Fakültesi,4'lük sistem,3.0,2.75,,,5,0,0-5 saat,10-20 saat,Üniversite,Üniversite,60.000 - 90.000 TL,Çalışmıyorum.,Aile evi,7 - 10 saat,7 - 10 saat
11.03.2026 11:00:27,Erkek,1.sınıf,Diğer,4'lük sistem,3.86,3.86,,,7,0,0-5 saat,10-20 saat,İlkokul,Ortaokul,28.075 - 60.000 TL,Çalışmıyorum.,Yurt,7 - 10 saat,7 - 10 saat
11.03.2026 11:04:10,Erkek,3.sınıf,Eğitim/Fen Fakültesi,4'lük sistem,3.44,3.10,,,10,0,5-10 saat,10-20 saat,Hiçbiri,Lise,28.075 - 60.000 TL,Çalışmıyorum.,Aile evi,3 - 6 saat,3 - 6 saat
11.03.2026 11:13:02,Erkek,1.sınıf,Sağlık Bilimleri/Hemşirelik/Tıp/Diş Hekimliği Fakültesi,100'lük sistem,,,68.00,68.0,7,0,10-20 saat,20-30 saat,Üniversite,Lise,60.000 - 90.000 TL,Çalışmıyorum.,Aile evi,3 - 6 saat,7 - 10 saat
11.03.2026 11:13:56,Erkek,Diğer,Sosyal ve Beşeri Bilimler/Siyasal Bilgiler Fakültesi,4'lük sistem,3.70,3.59,,,2,0,10-20 saat,10-20 saat,Üniversite,Üniversite,90.000+ TL,Part-Time çalışıyorum.,Aile evi,0 - 3 saat,7 - 10 saat
11.03.2026 11:17:50,Erkek,1.sınıf,Mühendislik Fakültesi,4'lük sistem,3.48,3.48,,,5,0,5-10 saat,20-30 saat,Üniversite,Üniversite,28.075 - 60.000 TL,Part-Time çalışıyorum.,Aile evi,7 - 10 saat,7 - 10 saat
11.03.2026 11:46:40,Erkek,1.sınıf,Diğer,4'lük sistem,3.50,3.50,,,6,0,5-10 saat,10-20 saat,Üniversite,Lise,90.000+ TL,Part-Time çalışıyorum.,Yurt,10 - 15 saat,7 - 10 saat
11.03.2026 11:50:04,Erkek,2.sınıf,Diğer,4'lük sistem,2,2,,,9,4,0-5 saat,0-5 saat,Lise,Ortaokul,90.000+ TL,Full-Time çalışıyorum.,Aile evi,10 - 15 saat,7 - 10 saat
11.03.2026 11:58:18,Kadın,3.sınıf,Mühendislik Fakültesi,4'lük sistem,3.7,3.9,,,8,0,10-20 saat,0-5 saat,İlkokul,İlkokul,60.000 - 90.000 TL,Part-Time çalışıyorum.,Yurt,0 - 3 saat,7 - 10 saat
11.03.2026 12:01:02,Kadın,2.sınıf,Mühendislik Fakültesi,4'lük sistem,3.5,2.68,,,10,0,0-5 saat,5-10 saat,Lise,Lise,60.000 - 90.000 TL,Part-Time çalışıyorum.,Aile evi,3 - 6 saat,7 - 10 saat
11.03.2026 12:02:29,Kadın,1.sınıf,Mühendislik Fakültesi,4'lük sistem,3.03,3.03,,,8,0,20-30 saat,20-30 saat,Lise,Üniversite,28.075 - 60.000 TL,Çalışmıyorum.,Yurt,3 - 6 saat,7 - 10 saat
11.03.2026 12:04:36,Erkek,1.sınıf,Mühendislik Fakültesi,4'lük sistem,2.25,2.25,,,8,2,0-5 saat,10-20 saat,Lise,Lise,60.000 - 90.000 TL,Çalışmıyorum.,Yurt,3 - 6 saat,3 - 6 saat
11.03.2026 12:06:34,Erkek,1.sınıf,Sağlık Bilimleri/Hemşirelik/Tıp/Diş Hekimliği Fakültesi,100'lük sistem,,,81.5,78.33,16,0,10-20 saat,30-50 saat,Üniversite,Üniversite,90.000+ TL,Çalışmıyorum.,Öğrenci evi,3 - 6 saat,7 - 10 saat
11.03.2026 12:08:04,Erkek,2.sınıf,Mühendislik Fakültesi,4'lük sistem,3.16,3.41,,,7,0,30-50 saat,50+ saat,Lise,Üniversite,60.000 - 90.000 TL,Çalışmıyorum.,Aile evi,3 - 6 saat,3 - 6 saat
11.03.2026 12:17:27,Kadın,1.sınıf,Mühendislik Fakültesi,4'lük sistem,1.56,1.56,,,7,4,0-5 saat,0-5 saat,Üniversite,Üniversite,28.075 - 60.000 TL,Çalışmıyorum.,Aile evi,3 - 6 saat,7 - 10 saat
11.03.2026 12:18:28,Erkek,1.sınıf,Mühendislik Fakültesi,4'lük sistem,2.54,2.54,,,14,0,5-10 saat,10-20 saat,Üniversite,Üniversite,90.000+ TL,Çalışmıyorum.,Yurt,3 - 6 saat,10 - 15 saat
11.03.2026 12:37:40,Erkek,1.sınıf,Eğitim/Fen Fakültesi,4'lük sistem,1.79,1.79,,,5,0,5-10 saat,10-20 saat,Üniversite,Lise,28.075 - 60.000 TL,Çalışmıyorum.,Yurt,3 - 6 saat,3 - 6 saat
11.03.2026 12:38:44,Kadın,1.sınıf,Sosyal ve Beşeri Bilimler/Siyasal Bilgiler Fakültesi,4'lük sistem,2.15,2.15,,,4,0,20-30 saat,30-50 saat,Üniversite,Üniversite,90.000+ TL,Çalışmıyorum.,Yurt,0 - 3 saat,3 - 6 saat
11.03.2026 12:48:32,Erkek,2.sınıf,Mühendislik Fakültesi,4'lük sistem,3.4,3.0,,,8,3,0-5 saat,5-10 saat,Lise,Lise,28.075 - 60.000 TL,Part-Time çalışıyorum.,Öğrenci evi,3 - 6 saat,7 - 10 saat
11.03.2026 13:13:48,Kadın,1.sınıf,Eğitim/Fen Fakültesi,4'lük sistem,3.24,3.24,,,5,0,20-30 saat,20-30 saat,Ortaokul,Lise,90.000+ TL,Çalışmıyorum.,Yurt,0 - 3 saat,3 - 6 saat
11.03.2026 13:29:25,Kadın,3.sınıf,Sağlık Bilimleri/Hemşirelik/Tıp/Diş Hekimliği Fakültesi,4'lük sistem,2.47,2.45,,,6,0,5-10 saat,5-10 saat,İlkokul,Üniversite,0 - 28.075 TL,Çalışmıyorum.,Yurt,7 - 10 saat,7 - 10 saat
11.03.2026 13:40:12,Kadın,1.sınıf,Sosyal ve Beşeri Bilimler/Siyasal Bilgiler Fakültesi,4'lük sistem,2.11,2.23,,,7,1,5-10 saat,20-30 saat,Üniversite,Üniversite,60.000 - 90.000 TL,Çalışmıyorum.,Yurt,7 - 10 saat,7 - 10 saat
11.03.2026 13:42:00,Kadın,3.sınıf,Mühendislik Fakültesi,4'lük sistem,3.1,2.71,,,5,0,5-10 saat,10-20 saat,Ortaokul,Lise,28.075 - 60.000 TL,Çalışmıyorum.,Yurt,3 - 6 saat,7 - 10 saat
11.03.2026 13:44:17,Kadın,4.sınıf,Sosyal ve Beşeri Bilimler/Siyasal Bilgiler Fakültesi,4'lük sistem,3.42,2.92,,,6,0,5-10 saat,20-30 saat,Üniversite,Üniversite,60.000 - 90.000 TL,Çalışmıyorum.,Yurt,3 - 6 saat,7 - 10 saat
11.03.2026 13:47:52,Kadın,3.sınıf,Sağlık Bilimleri/Hemşirelik/Tıp/Diş Hekimliği Fakültesi,4'lük sistem,3.50,3.21,,,19,0,0-5 saat,20-30 saat,İlkokul,İlkokul,0 - 28.075 TL,Çalışmıyorum.,Yurt,3 - 6 saat,7 - 10 saat
11.03.2026 13:49:13,Kadın,1.sınıf,Diğer,4'lük sistem,3.14,3.10,,,10,0,0-5 saat,0-5 saat,Üniversite,Üniversite,0 - 28.075 TL,Part-Time çalışıyorum.,Aile evi,3 - 6 saat,0 - 3 saat
11.03.2026 13:50:54,Kadın,1.sınıf,Diğer,4'lük sistem,2.90,3,,,9,0,0-5 saat,10-20 saat,İlkokul,İlkokul,60.000 - 90.000 TL,Çalışmıyorum.,Yurt,3 - 6 saat,7 - 10 saat
11.03.2026 14:07:35,Erkek,2.sınıf,Diğer,4'lük sistem,2.05,1.55,,,8,3,0-5 saat,10-20 saat,Ortaokul,Lise,90.000+ TL,Çalışmıyorum.,Yurt,3 - 6 saat,7 - 10 saat
11.03.2026 14:10:36,Erkek,2.sınıf,Mühendislik Fakültesi,4'lük sistem,1.75,1.70,,,11,2,0-5 saat,50+ saat,Lise,Üniversite,60.000 - 90.000 TL,Çalışmıyorum.,Yurt,7 - 10 saat,7 - 10 saat
